	AC	AL	DE	DR	EN	GS	ID	LENG	NC	TC
TIGR04143	TIGR04143	muscle_manual	VPXXXP-CTERM protein sorting domain	NA	VPXXXP-CTERM protein sorting domain	NA	VPxxxP_CTERM	25	25.00 25.00	30.00 30.00
TIGR03820	TIGR03820	muscle_manual	lysine-2,3-aminomutase	NA	lysine-2,3-aminomutase	ablA	lys_2_3_AblA	417	525.15 525.15	525.40 525.40
TIGR00732	TIGR00732	clustalw_manual	DNA protecting protein DprA	ECOCYC; EG11604; smf	DNA protecting protein DprA	dprA	dprA	220	113.15 113.15	191.15 191.15
TIGR03900	TIGR03900	muscle_manual	putative carboxyl-terminal-processing protease, deltaproteobacterial	NA	putative carboxyl-terminal-processing protease, deltaproteobacterial	NA	prc_long_Delta	973	660.65 660.65	660.95 660.95
TIGR00107	TIGR00107	clustalw	purine nucleoside phosphorylase	HAMAP; MF_01627; 112 of 115	purine-nucleoside phosphorylase, family 1 (deoD)	deoD	deoD	232	106.40 106.40	232.25 232.25
TIGR00927	TIGR00927	clustalw_manual	K+-dependent Na+/Ca+ exchanger	NA	K+-dependent Na+/Ca+ exchanger	NA	2A1904	1209	438.70 438.70	710.10 710.10
TIGR04229	TIGR04229	manual	putative radical SAM-modified peptide	NA	putative radical SAM-modified peptide	gptA	geopeptide	22	26.00 21.00	30.00 25.00
TIGR01849	TIGR01849	clustalw_manual	polyhydroxyalkanoate depolymerase, intracellular	NA	polyhydroxyalkanoate depolymerase, intracellular	phaZ	PHB_depoly_PhaZ	406	86.50 86.50	300.75 300.75
TIGR03932	TIGR03932	muscle_manual	intracellular adhesion protein D	NA	intracellular adhesion protein D	icaD	PIA_icaD	88	44.30 44.30	69.05 69.05
TIGR02479	TIGR02479	clustalw	RNA polymerase sigma factor, FliA/WhiG family	NA	RNA polymerase sigma factor, FliA/WhiG family	NA	FliA_WhiG	224	153.20 153.20	189.60 189.60
TIGR03722	TIGR03722	muscle_manual	universal archaeal protein Kae1	NA	universal archaeal protein Kae1	kae1	arch_KAE1	323	426.45 426.45	430.90 430.90
TIGR04158	TIGR04158	muscle	3-methyl-2-indolic acid synthase	NA	3-methyl-2-indolic acid synthase	nosL	rSAM_MIA_synth	368	175.00 175.00	400.00 400.00
TIGR04219	TIGR04219	muscle_manual	outer membrane protein	NA	outer membrane protein	NA	OMP_w_GlyGly	234	80.00 80.00	105.00 105.00
TIGR00232	TIGR00232	clustalw	transketolase	NA	transketolase, bacterial and yeast	tkt	tktlase_bact	654	621.15 621.15	682.25 682.25
TIGR00478	TIGR00478	clustalw_manual	hemolysin TlyA family protein	EGAD:20008, SP:Q06803, (UI: 92112315), EGAD:128425	hemolysin TlyA family protein	NA	tly	228	118.60 118.60	185.80 185.80
TIGR02793	TIGR02793	clustalw_manual	nickel-responsive transcriptional regulator NikR	HAMAP; MF_00476; 31 of 80	nickel-responsive transcriptional regulator NikR	nikR	nikR	129	71.75 71.75	175.45 175.45
TIGR03158	TIGR03158	muscle_manual	CRISPR-associated helicase Cas3, subtype CYANO	PFAM; PF00271; Helicase conserved C-terminal domain	CRISPR-associated helicase Cas3, subtype CYANO	cas3	cas3_cyano	357	52.25 52.25	69.10 69.10
TIGR00838	TIGR00838	clustalw_manual	argininosuccinate lyase	HAMAP; MF_00006; 421 of 430	argininosuccinate lyase	argH	argH	455	135.55 135.55	279.50 279.50
TIGR01341	TIGR01341	clustalw_manual	aconitate hydratase 1	EXPERIMENTAL; GP|6456849; Streptomyces viridochromogenes	aconitate hydratase 1	acnA	aconitase_1	876	508.80 508.80	945.00 945.00
TIGR03438	TIGR03438	muscle_manual	dimethylhistidine N-methyltransferase	NA	dimethylhistidine N-methyltransferase	egtD	egtD_ergothio	301	210.00 210.00	290.90 290.90
TIGR03753	TIGR03753	muscle_manual	beta-carotene 15,15'-monooxygenase, Brp/Blh family	NA	beta-carotene 15,15'-monooxygenase, Brp/Blh family	NA	blh_monoox	260	58.05 58.05	95.25 95.25
TIGR03396	TIGR03396	muscle_manual	phospholipase C, phosphocholine-specific	NA	phospholipase C, phosphocholine-specific, Pseudomonas-type	NA	PC_PLC	688	465.55 465.55	580.25 580.25
TIGR03363	TIGR03363	muscle_manual	type VI secretion-associated protein, ImpA family	PFAM; PF06812; ImpA-rel_N	type VI secretion-associated protein, ImpA family	NA	VI_chp_8	353	98.15 98.15	160.85 160.85
TIGR03294	TIGR03294	muscle	coenzyme F420 hydrogenase, subunit gamma	NA	coenzyme F420 hydrogenase, subunit gamma	frhG	FrhG	228	167.65 167.65	245.50 245.50
TIGR02449	TIGR02449	clustalw	TIGR02449 family protein	NA	TIGR02449 family protein	NA	TIGR02449	65	28.15 28.15	55.40 55.40
TIGR01060	TIGR01060	clustalw_manual	phosphopyruvate hydratase	HAMAP; MF_00318; 568 of 581	phosphopyruvate hydratase	eno	eno	425	215.00 215.00	443.85 443.85
TIGR04189	TIGR04189	muscle_manual	cell surface protein SprA	NA	cell surface protein SprA	sprA	surface_SprA	2319	30.00 30.00	200.00 200.00
TIGR01526	TIGR01526	clustalw_manual	nicotinamide-nucleotide adenylyltransferase	NA	nicotinamide-nucleotide adenylyltransferase, NadR type	NA	nadR_NMN_Atrans	325	78.30 78.30	341.15 341.15
TIGR01988	TIGR01988	clustalw	ubiquinone biosynthesis hydroxylase, UbiH/UbiF/VisC/COQ6 family	NA	Ubiquinone biosynthesis hydroxylase, UbiH/UbiF/VisC/COQ6 family	NA	Ubi-OHases	387	193.65 193.65	224.65 224.65
TIGR01399	TIGR01399	clustalw_manual	type III secretion protein, HrcV family	NA	type III secretion protein, HrcV family	NA	hrcV	677	677.30 677.30	692.25 692.25
TIGR04160	TIGR04160	muscle_manual	methanobactin biosynthesis cassette protein MbnC	NA	methanobactin biosynthesis cassette protein MbnC	mbnC	methbact_MbnC	87	50.00 50.00	75.00 75.00
TIGR03911	TIGR03911	muscle	pyrrolysine biosynthesis protein PylD	NA	pyrrolysine biosynthesis protein PylD	pylD	pyrrolys_PylD	266	148.85 148.85	150.05 150.05
TIGR00224	TIGR00224	clustalw	phosphoenolpyruvate carboxykinase (ATP)	HAMAP; MF_00453; 184 of 188	phosphoenolpyruvate carboxykinase (ATP)	pckA	pckA	532	290.70 290.70	590.05 590.05
TIGR03956	TIGR03956	muscle_manual	[FeFe] hydrogenase H-cluster radical SAM maturase HydE	NA	[FeFe] hydrogenase H-cluster radical SAM maturase HydE	hydE	rSAM_HydE	340	250.00 250.00	254.60 254.60
TIGR03513	TIGR03513	muscle_manual	gliding motility-associated protein GldL	NA	gliding motility-associated protein GldL	gldL	GldL_gliding	247	51.80 51.80	68.30 68.30
TIGR03493	TIGR03493	muscle_manual	celllulose biosynthesis operon protein BcsF/YhjT	NA	celllulose biosynthesis operon protein BcsF/YhjT	bcsF	cellullose_BcsF	62	29.05 29.05	56.00 56.00
TIGR01946	TIGR01946	clustalw_manual	electron transport complex, RnfABCDGE type, D subunit	HAMAP; MF_00462; 71 of 72	electron transport complex, RnfABCDGE type, D subunit	NA	rnfD	327	193.40 193.40	207.05 207.05
TIGR04012	TIGR04012	muscle_manual	poly-gamma-glutamate synthase PgsB	NA	poly-gamma-glutamate synthase PgsB/CapB	pgsB	poly_gGlu_PgsB	380	116.35 116.35	222.70 222.70
TIGR01668	TIGR01668	clustalw	HAD phosphatase, family IIIA	NA	HAD superfamily (subfamily IIIA) phosphatase, TIGR01668	yqeG	YqeG_hyp_ppase	170	56.35 56.35	89.10 89.10
TIGR00821	TIGR00821	clustalw_manual	PTS system, glucitol/sorbitol-specific, IIC component	URL; http://www-biology.ucsd.edu/~msaier/transport/4_A_4.html	PTS system, glucitol/sorbitol-specific, IIC component	srlA	EII-GUT	181	83.05 83.05	166.30 166.30
TIGR02526	TIGR02526	clustalw	PduT-like ethanolamine utilization protein	NA	PduT-like ethanolamine utilization protein	NA	eut_PduT	182	175.15 175.15	250.30 250.30
TIGR02244	TIGR02244	clustalw	HAD superfamily (subfamily IG) hydrolase, 5'-nucleotidase	NA	HAD superfamily (subfamily IG) hydrolase, 5'-nucleotidase	NA	HAD-IG-Ncltidse	343	118.40 118.40	237.15 237.15
TIGR04099	TIGR04099	muscle_manual	probable biosynthetic protein, Pnap_2097 family	NA	probable biosynthetic protein, Pnap_2097 family	NA	biosn_Pnap_2097	259	90.00 90.00	125.00 125.00
TIGR02342	TIGR02342	clustalw	T-complex protein 1, delta subunit	NA	T-complex protein 1, delta subunit	NA	chap_CCT_delta	517	516.40 516.40	695.35 695.35
TIGR04294	TIGR04294	muscle_manual	prepilin-type processing-associated H-X9-DG domain	NA	prepilin-type processing-associated H-X9-DG domain	NA	pre_pil_HX9DG	16	10.00 10.00	16.00 16.00
TIGR03905	TIGR03905	muscle_manual	uncharacterized protein TIGR03905	NA	uncharacterized protein TIGR03905	NA	TIGR03905_4_Cys	78	47.30 47.30	67.70 67.70
TIGR01489	TIGR01489	clustalw_manual	2,3-diketo-5-methylthio-1-phosphopentane phosphatase	HAMAP; MF_01680; 15 of 17	2,3-diketo-5-methylthio-1-phosphopentane phosphatase	NA	DKMTPPase-SF	188	63.00 63.00	81.55 81.55
TIGR02531	TIGR02531	clustalw	TrpR homolog YerC/YecD	TIGRFAMS; TIGR01321	TrpR-related protein YerC/YecD	NA	yecD_yerC	88	41.75 41.75	42.20 42.20
TIGR00233	TIGR00233	clustalw	tryptophan--tRNA ligase	HAMAP; MF_00140; 142 of 142	tryptophanyl-tRNA synthetase	trpS	trpS	328	139.15 139.15	176.75 176.75
TIGR02814	TIGR02814	clustalw_manual	PfaD family protein	NA	PfaD family protein	NA	pfaD_fam	444	147.65 147.65	449.25 449.25
TIGR00913	TIGR00913	clustalw_manual	amino acid permease (yeast)	NA	amino acid permease (yeast)	NA	2A0310	480	536.60 536.60	578.70 578.70
TIGR02027	TIGR02027	clustalw	DNA-directed RNA polymerase, alpha subunit	HAMAP; MF_00059; 671 of 673	DNA-directed RNA polymerase, alpha subunit, bacterial and chloroplast-type	rpoA	rpoA	298	112.40 112.40	227.80 227.80
TIGR00976	TIGR00976	clustalw_manual	hydrolase CocE/NonD family protein	NA	putative hydrolase, CocE/NonD family	NA	/NonD	550	62.65 62.65	66.30 66.30
TIGR00513	TIGR00513	NA	acetyl-CoA carboxylase, carboxyl transferase, alpha subunit	HAMAP; MF_00823; 312 of 316	acetyl-CoA carboxylase, carboxyl transferase, alpha subunit	accA	accA	321	171.15 171.15	319.30 319.30
TIGR02175	TIGR02175	clustalw_manual	2-oxoacid:acceptor oxidoreductase, gamma subunit, pyruvate/2-ketoisovalerate family	PFAM; PF01558	2-oxoacid:acceptor oxidoreductase, gamma subunit, pyruvate/2-ketoisovalerate family	NA	PorC_KorC	177	72.40 72.40	81.10 81.10
TIGR00097	TIGR00097	clustalw_manual	phosphomethylpyrimidine kinase	NA	phosphomethylpyrimidine kinase	thiD	HMP-P_kinase	254	79.35 79.35	204.95 204.95
TIGR00318	TIGR00318	clustalw	putative adenylyl cyclase CyaB	NA	adenylyl cyclase CyaB, putative	cyaB	cyaB	174	31.40 31.40	57.95 57.95
TIGR03148	TIGR03148	muscle	cytochrome c nitrite reductase, NrfD subunit	PFAM; PF03916; NrfD; Polysulphide reductase, NrfD	cytochrome c nitrite reductase, NrfD subunit	nrfD	cyt_nit_nrfD	316	300.15 300.15	347.60 347.60
TIGR00798	TIGR00798	clustalw_manual	tricarboxylate carrier	PFAM; PF00153	tricarboxylate carrier	NA	mtc	317	225.45 225.45	322.80 322.80
TIGR00313	TIGR00313	clustalw	cobyric acid synthase CobQ	HAMAP; MF_00028; 214 of 216	cobyric acid synthase CobQ	cobQ	cobQ	477	237.20 237.20	309.90 309.90
TIGR00794	TIGR00794	clustalw_manual	potassium uptake protein	HAMAP; MF_01522; 37 of 248	potassium uptake protein	kup	kup	688	444.90 444.90	539.60 539.60
TIGR02769	TIGR02769	clustalw	nickel import ATP-binding protein NikE	HAMAP; MF_01712; 16 of 16	nickel import ATP-binding protein NikE	nikE	nickel_nikE	265	303.55 303.55	332.55 332.55
TIGR02345	TIGR02345	clustalw	T-complex protein 1, eta subunit	NA	T-complex protein 1, eta subunit	NA	chap_CCT_eta	523	472.15 472.15	669.20 669.20
TIGR02662	TIGR02662	clustalw	ADP-ribosyl-[dinitrogen reductase] hydrolase	PFAM; PF03747; ADP-ribosylglycohydrolase	ADP-ribosyl-[dinitrogen reductase] hydrolase	draG	dinitro_DRAG	287	175.40 175.40	337.05 337.05
TIGR02631	TIGR02631	clustalw	xylose isomerase	HAMAP; MF_00455; 20 of 146	xylose isomerase, Arthrobacter type	xylA	xylA_Arthro	382	150.55 150.55	447.00 447.00
TIGR04150	TIGR04150	muscle_manual	pseudo-rSAM protein, GG-Bacteroidales system	NA	pseudo-rSAM protein, GG-Bacteroidales system	NA	pseudo_rSAM_GG	407	75.00 75.00	250.00 250.00
TIGR03264	TIGR03264	muscle	methyl-coenzyme M reductase I operon protein C	NA	methyl-coenzyme M reductase I operon protein C	mcrC	met_CoM_red_C	194	51.55 51.55	213.50 213.50
TIGR02064	TIGR02064	clustalw	sulfite reductase, dissimilatory-type alpha subunit	OUTGROUP; SP|Q59110; Archaeoglobus fulgidus; Sulfite reductase, dissimilatory-type beta subunit	sulfite reductase, dissimilatory-type alpha subunit	dsrA	dsrA	402	222.85 222.85	392.85 392.85
TIGR01220	TIGR01220	clustalw	phosphomevalonate kinase	NA	phosphomevalonate kinase, ERG8-type, Gram-positive branch	NA	Pmev_kin_Gr_pos	358	70.35 70.35	165.70 165.70
TIGR01690	TIGR01690	muscle_manual	integrative conjugative element protein, RAQPRD family	NA	integrative conjugative element protein, RAQPRD family	NA	ICE_RAQPRD	96	24.00 24.00	60.85 60.85
TIGR00873	TIGR00873	clustalw	6-phosphogluconate dehydrogenase (decarboxylating)	NA	6-phosphogluconate dehydrogenase (decarboxylating)	gnd	gnd	467	211.20 211.20	426.70 426.70
TIGR02395	TIGR02395	clustalw	RNA polymerase sigma-54 factor	NA	RNA polymerase sigma-54 factor	rpoN	rpoN_sigma	434	158.45 158.45	277.35 277.35
TIGR00340	TIGR00340	clustalw	zinc finger protein ZPR1 homolog	NA	ZPR1-related zinc finger protein	NA	zpr1_rel	163	93.25 93.25	117.95 117.95
TIGR00534	TIGR00534	NA	glucose-6-phosphate dehydrogenase assembly protein OpcA	NA	glucose-6-phosphate dehydrogenase assembly protein OpcA	opcA	OpcA	313	93.75 93.75	256.25 256.25
TIGR03160	TIGR03160	muscle_manual	nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	PFAM; PF02277; DBI_PRT; Phosphoribosyltransferase	nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	cobT	cobT_DBIPRT	334	137.65 137.65	319.30 319.30
TIGR04137	TIGR04137	muscle_manual	Chlam_Verruc_Plancto small basic protein	NA	Chlam_Verruc_Plancto small basic protein	NA	Chlam_Ver_rRNA	50	27.00 23.00	50.00 50.00
TIGR00649	TIGR00649	NA	conserved hypothetical protein	NA	conserved hypothetical protein	NA	MG423	546	278.50 278.50	584.50 584.50
TIGR04333	TIGR04333	muscle_manual	Cys-rich peptide, Clo7bot family	NA	Cys-rich peptide, Clo7bot family	NA	Clo7Bot_mod_Cys	34	25.00 25.00	31.00 31.00
TIGR00502	TIGR00502	clustalw	glucosamine-6-phosphate deaminase	HAMAP; MF_01241; 139 of 173	glucosamine-6-phosphate isomerase	nagB	nagB	259	130.85 130.85	236.90 236.90
TIGR02475	TIGR02475	clustalw	cobalamin biosynthesis protein CobW	NA	cobalamin biosynthesis protein CobW	cobW	CobW	342	255.35 255.35	332.10 332.10
TIGR00807	TIGR00807	clustalw_manual	malonate transporter, MadL subunit	URL; http://www-biology.ucsd.edu/~msaier/transport/2_A_70.html	malonate transporter, MadL subunit	madL	malonate_madL	125	37.35 37.35	113.45 113.45
TIGR03108	TIGR03108	clustalw	exosortase A system-associated amidotransferase 1	TIGRFAMS; TIGR02602	exosortase A system-associated amidotransferase 1	NA	eps_aminotran_1	628	728.35 728.35	816.90 816.90
TIGR02580	TIGR02580	clustalw	CRISPR type III-B/RAMP module RAMP protein Cmr4	PFAM; PF03787; RAMP superfamily	CRISPR type III-B/RAMP module RAMP protein Cmr4	cmr4	cas_RAMP_Cmr4	283	65.40 65.40	87.00 87.00
TIGR00555	TIGR00555	clustalw_manual	pantothenate kinase	HAMAP; MF_01273; 19 of 19	pantothenate kinase, eukaryotic/staphyloccocal type	coaA	panK_eukar	304	82.75 82.75	247.60 247.60
TIGR03367	TIGR03367	muscle_manual	queuosine biosynthesis protein QueD	NA	queuosine biosynthesis protein QueD	queD	queuosine_QueD	92	76.90 76.90	89.25 89.25
TIGR04283	TIGR04283	muscle_manual	transferase 2, rSAM/selenodomain-associated	NA	transferase 2, rSAM/selenodomain-associated	NA	glyco_like_mftF	221	175.00 175.00	182.00 182.00
TIGR04028	TIGR04028	muscle_manual	ABC transporter substrate binding protein, KPN_01854 family	NA	ABC transporter substrate binding protein, KPN_01854 family	NA	SBP_KPN_01854	509	468.20 468.20	468.50 468.50
TIGR01195	TIGR01195	manual	sodium pump decarboxylases, gamma subunit	HAMAP; MF_00404; 18 of 18	sodium pump decarboxylases, gamma subunit	NA	oadG_fam	84	32.80 32.80	36.05 36.05
TIGR02409	TIGR02409	clustalw	gamma-butyrobetaine hydroxylase	PFAM; PF03322; Gamma-butyrobetaine hydroxylase	gamma-butyrobetaine hydroxylase	NA	carnitine_bodg	366	316.65 316.65	414.75 414.75
TIGR01352	TIGR01352	clustalw_manual	TonB family C-terminal domain	NA	TonB family C-terminal domain	NA	tonB_Cterm	76	25.00 25.00	27.10 27.10
TIGR03765	TIGR03765	muscle_manual	integrating conjugative element protein, PFL_4695 family	NA	integrating conjugative element protein, PFL_4695 family	NA	ICE_PFL_4695	105	47.45 47.45	59.75 59.75
TIGR03152	TIGR03152	muscle	formate-dependent cytochrome c nitrite reductase, c552 subunit	NA	formate-dependent cytochrome c nitrite reductase, c552 subunit	nrfA	cyto_c552_HCOOH	441	576.85 576.85	692.50 692.50
TIGR01673	TIGR01673	clustalw_manual	phage holin, LL-H family	NA	phage holin, LL-H family	NA	holin_LLH	108	34.65 34.65	34.75 34.75
TIGR01270	TIGR01270	clustalw_manual	tryptophan 5-monooxygenase	NA	tryptophan 5-monooxygenase, tetrameric	NA	Trp_5_monoox	464	608.15 608.15	705.50 705.50
TIGR03100	TIGR03100	muscle	exosortase A system-associated hydrolase 1	NA	exosortase A system-associated hydrolase 1	NA	hydr1_PEP	274	166.15 166.15	168.45 168.45
TIGR03656	TIGR03656	muscle	heme uptake protein IsdC	NA	heme uptake protein IsdC	isdC	IsdC	219	153.85 153.85	155.85 155.85
TIGR02945	TIGR02945	muscle	FeS assembly SUF system protein	PFAM; PF01883; DUF59; Domain of unknown function	FeS assembly SUF system protein	NA	SUF_assoc	99	118.00 118.00	143.40 143.40
TIGR00597	TIGR00597	NA	DNA repair protein rad10	SWISSPROT; Q06182;	DNA repair protein rad10	NA	rad10	112	45.70 45.70	72.90 72.90
TIGR03719	TIGR03719	muscle_manual	ATP-binding cassette protein, ChvD family	NA	ATP-binding cassette protein, ChvD family	NA	ABC_ABC_ChvD	552	591.30 591.30	806.75 806.75
TIGR02500	TIGR02500	clustalw_manual	type III secretion apparatus protein, YscD/HrpQ family	NA	type III secretion apparatus protein, YscD/HrpQ family	NA	type_III_yscD	413	56.85 56.85	86.00 86.00
TIGR01531	TIGR01531	clustalw	glycogen debranching enzyme	NA	glycogen debranching enzymye	GDE	glyc_debranch	1443	574.95 574.95	1399.55 1399.55
TIGR03883	TIGR03883	muscle	uncharacterized protein, coenzyme F420 biosynthesis associated	NA	uncharacterized protein, coenzyme F420 biosynthesis associated	NA	DUF2342_F420	346	161.10 161.10	171.35 171.35
TIGR01069	TIGR01069	clustalw	MutS2 family protein	HAMAP; MF_00092; 41 of 41	MutS2 family protein	NA	mutS2	771	468.60 468.60	557.35 557.35
TIGR01012	TIGR01012	clustalw	ribosomal protein S2	HAMAP; MF_00291; 50 of 736	ribosomal protein Sa(cytosolic)/S2(archaeal)	rpsB	Sa_S2_E_A	196	92.60 92.60	211.50 211.50
TIGR00586	TIGR00586	NA	mutator mutT protein	SWISSPROT; P08337;	mutator mutT protein	NA	mutt	129	43.80 43.80	97.90 97.90
TIGR02016	TIGR02016	clustalw	chlorophyllide reductase iron protein subunit X	NA	chlorophyllide reductase iron protein subunit X	NA	BchX	296	282.20 282.20	331.20 331.20
TIGR02431	TIGR02431	clustalw	beta-ketoadipate pathway transcriptional regulators, PcaR/PcaU/PobR family	PFAM; PF01614; IclR	beta-ketoadipate pathway transcriptional regulators, PcaR/PcaU/PobR family	NA	pcaR_pcaU	248	219.60 219.60	284.75 284.75
TIGR03428	TIGR03428	muscle_manual	permease, urea carboxylase system	NA	permease, urea carboxylase system	NA	ureacarb_perm	475	315.00 315.00	740.45 740.45
TIGR02666	TIGR02666	clustalw_manual	molybdenum cofactor biosynthesis protein A	HAMAP; MF_01225; 171 of 198	molybdenum cofactor biosynthesis protein A, bacterial	moaA	moaA	336	270.95 270.95	284.05 284.05
TIGR02555	TIGR02555	clustalw	type III secretion apparatus protein OrgA/MxiK	NA	type III secretion apparatus protein OrgA/MxiK	NA	OrgA_MxiK	185	70.15 70.15	118.60 118.60
TIGR01806	TIGR01806	clustalw	putative chorismate mutase	NA	chorismate mutase, putative	NA	CM_mono2	114	53.60 53.60	74.15 74.15
TIGR02415	TIGR02415	clustalw	acetoin reductases	PFAM; PF00106; adh_short	acetoin reductases	NA	23BDH	254	242.75 242.75	304.35 304.35
TIGR03161	TIGR03161	clustalw	alpha-ribazole phosphatase CobZ	NA	alpha-ribazole phosphatase CobZ	cobZ	ribazole_CobZ	140	84.00 84.00	152.50 152.50
TIGR00943	TIGR00943	clustalw_manual	monovalent cation:proton antiporter	URL; http://www-biology.ucsd.edu/~msaier/transport/2_A_63.html	monovalent cation:proton antiporter	nha	2a6301s02	107	113.10 113.10	139.75 139.75
TIGR02611	TIGR02611	clustalw	TIGR02611 family protein	NA	TIGR02611 family protein	NA	TIGR02611	121	43.20 43.20	70.60 70.60
TIGR02245	TIGR02245	clustalw	HAD hydrolase, family IIID	NA	HAD-superfamily subfamily IIID hydrolase, TIGR02245	NA	HAD_IIID1	195	130.25 130.25	192.25 192.25
TIGR01006	TIGR01006	clustalw_manual	polysaccharide export protein, MPA1 family	URL; http://www-biology.ucsd.edu/~msaier/transport/8_A_3.html	polysaccharide export protein, MPA1 family, Gram-positive type	NA	polys_exp_MPA1	226	240.50 240.50	296.00 296.00
TIGR00314	TIGR00314	clustalw	CO dehydrogenase/acetyl-CoA synthase complex, epsilon subunit	HAMAP; MF_01137; 13 of 13	CO dehydrogenase/acetyl-CoA synthase complex, epsilon subunit	cdhA	cdhA	784	384.00 384.00	781.30 781.30
TIGR01909	TIGR01909	clustalw_manual	C_GCAxxG_C_C family protein	NA	C_GCAxxG_C_C family probable redox protein	NA	C_GCAxxG_C_C	120	36.55 36.55	47.40 47.40
TIGR03436	TIGR03436	manual	VWFA-related Acidobacterial domain	NA	VWFA-related Acidobacterial domain	NA	acidobact_VWFA	324	61.40 61.40	81.25 81.25
TIGR01591	TIGR01591	clustalw	formate dehydrogenase, alpha subunit	NA	formate dehydrogenase, alpha subunit, archaeal-type	NA	Fdh-alpha	672	610.65 610.65	666.25 666.25
TIGR03926	TIGR03926	muscle_manual	type VII secretion protein EssB	NA	type VII secretion protein EssB	essB	T7_EssB	377	140.10 140.10	229.75 229.75
TIGR01643	TIGR01643	manual	YD repeat (two copies)	NA	YD repeat (two copies)	NA	YD_repeat_2x	42	10.10 10.10	15.80 15.80
TIGR03171	TIGR03171	muscle	Rieske iron-sulfur protein SoxL2	NA	Rieske iron-sulfur protein SoxL2	soxL2	soxL2	321	581.95 581.95	582.10 582.10
TIGR01187	TIGR01187	clustalw	polyamine ABC transporter, ATP-binding protein	HAMAP; MF_01726; 93 of 157	spermidine/putrescine ABC transporter ATP-binding subunit	NA	potA	325	349.95 349.95	355.60 355.60
TIGR03099	TIGR03099	muscle	pyridoxal-dependent decarboxylase, exosortase A system-associated	NA	pyridoxal-dependent decarboxylase, exosortase A system-associated	NA	dCO2ase_PEP1	398	416.10 416.10	478.45 478.45
TIGR00515	TIGR00515	NA	acetyl-CoA carboxylase, carboxyl transferase, beta subunit	HAMAP; MF_01395; 231 of 233	acetyl-CoA carboxylase, carboxyl transferase, beta subunit	accD	accD	285	177.00 177.00	317.45 317.45
TIGR01182	TIGR01182	clustalw_manual	2-dehydro-3-deoxyphosphogluconate aldolase/4-hydroxy-2-oxoglutarate aldolase	NA	Entner-Doudoroff aldolase	eda	eda	204	95.25 95.25	156.05 156.05
